,adj close,close,high,low,open,volume
2026-03-24 11:20:00,22703.150390625,22703.150390625,22746.0,22701.599609375,22731.80078125,0
2026-03-24 11:25:00,22728.5,22728.5,22737.19921875,22689.55078125,22703.25,0
2026-03-24 11:30:00,22753.599609375,22753.599609375,22756.55078125,22724.5,22729.349609375,0
2026-03-24 11:35:00,22766.19921875,22766.19921875,22770.0,22749.900390625,22751.650390625,0
2026-03-24 11:40:00,22754.650390625,22754.650390625,22770.150390625,22738.94921875,22764.94921875,0
2026-03-24 11:45:00,22769.25,22769.25,22793.25,22745.849609375,22754.349609375,0
2026-03-24 11:50:00,22785.55078125,22785.55078125,22795.5,22756.599609375,22769.19921875,0
2026-03-24 11:55:00,22806.900390625,22806.900390625,22827.80078125,22784.400390625,22785.099609375,0
2026-03-24 12:00:00,22796.55078125,22796.55078125,22816.900390625,22793.80078125,22806.75,0
2026-03-24 12:05:00,22770.099609375,22770.099609375,22796.400390625,22765.150390625,22796.400390625,0
2026-03-24 12:10:00,22761.44921875,22761.44921875,22787.75,22760.0,22769.900390625,0
2026-03-24 12:15:00,22757.30078125,22757.30078125,22773.69921875,22753.349609375,22761.900390625,0
2026-03-24 12:20:00,22881.5,22881.5,22883.400390625,22756.400390625,22758.0,0
2026-03-24 12:25:00,22844.44921875,22844.44921875,22935.55078125,22822.349609375,22880.19921875,0
2026-03-24 12:30:00,22922.80078125,22922.80078125,22922.80078125,22843.400390625,22844.150390625,0
2026-03-24 12:35:00,22951.0,22951.0,22952.69921875,22915.900390625,22922.30078125,0
2026-03-24 12:40:00,22955.19921875,22955.19921875,22988.849609375,22937.400390625,22952.05078125,0
2026-03-24 12:45:00,22993.400390625,22993.400390625,22996.099609375,22955.30078125,22956.94921875,0
2026-03-24 12:50:00,23008.5,23008.5,23025.19921875,22980.0,22993.349609375,0
2026-03-24 12:55:00,22974.400390625,22974.400390625,23009.05078125,22952.849609375,23009.05078125,0
2026-03-24 13:00:00,22941.44921875,22941.44921875,22979.349609375,22936.44921875,22974.599609375,0
2026-03-24 13:05:00,22939.0,22939.0,22956.5,22911.349609375,22941.900390625,0
2026-03-24 13:10:00,22990.5,22990.5,22990.5,22935.30078125,22939.5,0
2026-03-24 13:15:00,22987.5,22987.5,22991.80078125,22958.400390625,22990.75,0
2026-03-24 13:20:00,22992.05078125,22992.05078125,23012.94921875,22966.44921875,22986.69921875,0
2026-03-24 13:25:00,23021.94921875,23021.94921875,23025.650390625,22983.75,22991.400390625,0
2026-03-24 13:30:00,23034.849609375,23034.849609375,23039.05078125,22999.849609375,23021.19921875,0
2026-03-24 13:35:00,23028.94921875,23028.94921875,23056.25,23021.69921875,23034.69921875,0
2026-03-24 13:40:00,23037.5,23037.5,23057.099609375,23022.0,23029.19921875,0
2026-03-24 13:45:00,22962.900390625,22962.900390625,23047.900390625,22962.900390625,23037.599609375,0
2026-03-24 13:50:00,22972.69921875,22972.69921875,22992.55078125,22950.599609375,22963.650390625,0
2026-03-24 13:55:00,22976.19921875,22976.19921875,22996.55078125,22971.30078125,22972.650390625,0
2026-03-24 14:00:00,22970.69921875,22970.69921875,22993.75,22954.25,22975.25,0
2026-03-24 14:05:00,22972.5,22972.5,22992.400390625,22957.150390625,22970.650390625,0
2026-03-24 14:10:00,22992.349609375,22992.349609375,22995.75,22971.30078125,22971.75,0
2026-03-24 14:15:00,22981.099609375,22981.099609375,23037.900390625,22980.05078125,22993.19921875,0
2026-03-24 14:20:00,22956.75,22956.75,22996.44921875,22920.0,22981.19921875,0
2026-03-24 14:25:00,22945.599609375,22945.599609375,22964.30078125,22932.349609375,22955.099609375,0
2026-03-24 14:30:00,22948.05078125,22948.05078125,22959.400390625,22926.400390625,22945.099609375,0
2026-03-24 14:35:00,22895.94921875,22895.94921875,22954.099609375,22893.30078125,22948.150390625,0
2026-03-24 14:40:00,22909.650390625,22909.650390625,22931.94921875,22882.650390625,22896.150390625,0
2026-03-24 14:45:00,22914.94921875,22914.94921875,22917.75,22901.599609375,22909.25,0
2026-03-24 14:50:00,22891.849609375,22891.849609375,22916.150390625,22883.900390625,22915.900390625,0
2026-03-24 14:55:00,22916.349609375,22916.349609375,22927.150390625,22889.650390625,22893.349609375,0
2026-03-24 15:00:00,22909.05078125,22909.05078125,22923.44921875,22875.349609375,22914.599609375,0
2026-03-24 15:05:00,22916.55078125,22916.55078125,22932.099609375,22894.150390625,22910.099609375,0
2026-03-24 15:10:00,22898.650390625,22898.650390625,22922.849609375,22898.650390625,22916.900390625,0
2026-03-24 15:15:00,22919.69921875,22919.69921875,22927.05078125,22881.30078125,22901.150390625,0
2026-03-24 15:20:00,22931.349609375,22931.349609375,22932.599609375,22915.05078125,22918.849609375,0
2026-03-24 15:25:00,22958.400390625,22958.400390625,22961.69921875,22931.30078125,22931.80078125,0
2026-03-25 09:15:00,23162.599609375,23162.599609375,23172.400390625,23067.75,23067.75,0
2026-03-25 09:20:00,23188.5,23188.5,23202.150390625,23161.900390625,23162.19921875,0
2026-03-25 09:25:00,23215.099609375,23215.099609375,23220.099609375,23188.900390625,23189.650390625,0
