,open,high,low,close,volume
2026-05-05 13:48:00+05:30,24050.44921875,24056.650390625,24040.19921875,24041.69921875,0
2026-05-05 13:51:00+05:30,24042.0,24048.150390625,24029.44921875,24032.25,0
2026-05-05 13:54:00+05:30,24031.69921875,24045.650390625,24020.5,24040.25,0
2026-05-05 13:57:00+05:30,24040.44921875,24054.5,24034.650390625,24038.099609375,0
2026-05-05 14:00:00+05:30,24035.849609375,24047.80078125,24035.849609375,24037.599609375,0
2026-05-05 14:03:00+05:30,24037.150390625,24038.69921875,24022.349609375,24028.349609375,0
2026-05-05 14:06:00+05:30,24028.599609375,24033.25,24016.150390625,24016.150390625,0
2026-05-05 14:09:00+05:30,24016.400390625,24029.5,24009.099609375,24021.69921875,0
2026-05-05 14:12:00+05:30,24022.5,24027.55078125,24002.150390625,24016.80078125,0
2026-05-05 14:15:00+05:30,24017.19921875,24042.150390625,24013.099609375,24028.19921875,0
2026-05-05 14:18:00+05:30,24027.849609375,24047.55078125,24025.400390625,24042.099609375,0
2026-05-05 14:21:00+05:30,24039.94921875,24048.55078125,24033.19921875,24033.30078125,0
2026-05-05 14:24:00+05:30,24033.349609375,24043.0,24026.30078125,24041.19921875,0
2026-05-05 14:27:00+05:30,24041.55078125,24061.0,24039.75,24058.30078125,0
2026-05-05 14:30:00+05:30,24059.30078125,24060.650390625,24034.150390625,24044.19921875,0
2026-05-05 14:33:00+05:30,24043.849609375,24048.900390625,24028.30078125,24030.400390625,0
2026-05-05 14:36:00+05:30,24030.150390625,24043.0,24019.400390625,24022.80078125,0
2026-05-05 14:39:00+05:30,24022.25,24038.599609375,24020.75,24034.69921875,0
2026-05-05 14:42:00+05:30,24034.599609375,24047.25,24034.599609375,24042.099609375,0
2026-05-05 14:45:00+05:30,24041.55078125,24045.80078125,24017.05078125,24031.400390625,0
2026-05-05 14:48:00+05:30,24029.75,24033.55078125,24020.150390625,24028.30078125,0
2026-05-05 14:51:00+05:30,24027.400390625,24032.25,23999.599609375,24009.349609375,0
2026-05-05 14:54:00+05:30,24009.05078125,24028.55078125,24009.05078125,24020.849609375,0
2026-05-05 14:57:00+05:30,24020.599609375,24028.900390625,24008.400390625,24010.80078125,0
2026-05-05 15:00:00+05:30,24011.900390625,24025.30078125,23999.80078125,24000.30078125,0
2026-05-05 15:03:00+05:30,24003.5,24019.25,23997.849609375,24001.30078125,0
2026-05-05 15:06:00+05:30,24003.0,24030.150390625,24000.900390625,24024.75,0
2026-05-05 15:09:00+05:30,24026.099609375,24036.44921875,24019.5,24022.75,0
2026-05-05 15:12:00+05:30,24025.05078125,24043.849609375,24023.44921875,24041.650390625,0
2026-05-05 15:15:00+05:30,24044.0,24052.80078125,24040.80078125,24049.099609375,0
2026-05-05 15:18:00+05:30,24051.5,24052.19921875,24039.349609375,24046.0,0
2026-05-05 15:21:00+05:30,24048.44921875,24055.349609375,24042.099609375,24043.05078125,0
2026-05-05 15:24:00+05:30,24045.25,24051.150390625,24037.05078125,24049.5,0
2026-05-05 15:27:00+05:30,24048.5,24059.69921875,24044.599609375,24052.150390625,0
2026-05-06 09:15:00+05:30,24179.599609375,24245.30078125,24179.599609375,24198.55078125,0
2026-05-06 09:18:00+05:30,24200.650390625,24200.650390625,24171.349609375,24178.30078125,0
2026-05-06 09:21:00+05:30,24179.30078125,24201.849609375,24157.80078125,24200.099609375,0
2026-05-06 09:24:00+05:30,24201.599609375,24201.94921875,24176.599609375,24179.05078125,0
2026-05-06 09:27:00+05:30,24180.349609375,24184.349609375,24164.94921875,24171.599609375,0
2026-05-06 09:30:00+05:30,24174.599609375,24185.25,24164.44921875,24175.099609375,0
2026-05-06 09:33:00+05:30,24175.900390625,24175.900390625,24157.400390625,24158.80078125,0
2026-05-06 09:36:00+05:30,24160.25,24162.099609375,24153.19921875,24161.400390625,0
2026-05-06 09:39:00+05:30,24161.80078125,24162.19921875,24138.650390625,24150.30078125,0
2026-05-06 09:42:00+05:30,24151.150390625,24152.849609375,24132.349609375,24138.44921875,0
2026-05-06 09:45:00+05:30,24139.849609375,24144.900390625,24133.44921875,24144.05078125,0
2026-05-06 09:48:00+05:30,24144.849609375,24144.849609375,24122.349609375,24125.599609375,0
2026-05-06 09:51:00+05:30,24126.69921875,24140.5,24122.80078125,24139.900390625,0
2026-05-06 09:54:00+05:30,24140.80078125,24163.80078125,24140.19921875,24157.80078125,0
2026-05-06 09:57:00+05:30,24157.349609375,24165.849609375,24138.900390625,24140.30078125,0
2026-05-06 10:00:00+05:30,24140.599609375,24140.599609375,24118.599609375,24120.849609375,0
2026-05-06 10:03:00+05:30,24121.75,24122.0,24103.099609375,24104.05078125,0
2026-05-06 10:06:00+05:30,24105.05078125,24108.650390625,24096.5,24105.94921875,0
2026-05-06 10:09:00+05:30,24105.849609375,24122.69921875,24100.099609375,24116.69921875,0
2026-05-06 10:12:00+05:30,24117.099609375,24141.599609375,24113.150390625,24137.30078125,0
2026-05-06 10:15:00+05:30,24137.0,24138.44921875,24121.75,24138.44921875,0
2026-05-06 10:18:00+05:30,24138.25,24146.80078125,24128.900390625,24145.69921875,0
2026-05-06 10:21:00+05:30,24146.400390625,24155.400390625,24145.349609375,24149.400390625,0
2026-05-06 10:24:00+05:30,24149.5,24150.44921875,24137.69921875,24145.599609375,0
2026-05-06 10:27:00+05:30,24145.5,24148.650390625,24136.150390625,24136.400390625,0
2026-05-06 10:30:00+05:30,24135.5,24144.0,24127.19921875,24141.650390625,0
2026-05-06 10:33:00+05:30,24141.19921875,24141.30078125,24111.900390625,24122.349609375,0
2026-05-06 10:36:00+05:30,24123.80078125,24126.349609375,24115.5,24123.650390625,0
2026-05-06 10:39:00+05:30,24124.25,24137.5,24120.5,24137.150390625,0
2026-05-06 10:42:00+05:30,24136.69921875,24150.150390625,24134.349609375,24142.849609375,0
2026-05-06 10:45:00+05:30,24142.75,24143.150390625,24126.25,24136.44921875,0
2026-05-06 10:48:00+05:30,24134.69921875,24137.349609375,24120.5,24121.80078125,0
2026-05-06 10:51:00+05:30,24121.099609375,24123.69921875,24095.400390625,24098.69921875,0
2026-05-06 10:54:00+05:30,24098.150390625,24110.25,24091.349609375,24102.0,0
2026-05-06 10:57:00+05:30,24101.19921875,24102.849609375,24093.94921875,24095.75,0
2026-05-06 11:00:00+05:30,24095.94921875,24104.650390625,24092.75,24093.5,0
2026-05-06 11:03:00+05:30,24093.0,24093.0,24073.55078125,24080.150390625,0
2026-05-06 11:06:00+05:30,24078.900390625,24096.349609375,24078.900390625,24094.099609375,0
2026-05-06 11:09:00+05:30,24093.650390625,24099.150390625,24081.650390625,24085.900390625,0
2026-05-06 11:12:00+05:30,24086.30078125,24092.849609375,24083.400390625,24089.30078125,0
2026-05-06 11:15:00+05:30,24089.150390625,24097.55078125,24086.75,24096.05078125,0
2026-05-06 11:18:00+05:30,24095.05078125,24102.55078125,24081.55078125,24093.650390625,0
2026-05-06 11:21:00+05:30,24092.80078125,24101.599609375,24088.5,24093.400390625,0
2026-05-06 11:24:00+05:30,24091.599609375,24098.25,24086.599609375,24097.650390625,0
2026-05-06 11:27:00+05:30,24097.55078125,24112.5,24096.099609375,24112.5,0
2026-05-06 11:30:00+05:30,24111.94921875,24117.349609375,24110.650390625,24112.94921875,0
2026-05-06 11:33:00+05:30,24112.349609375,24112.80078125,24091.80078125,24092.150390625,0
2026-05-06 11:36:00+05:30,24093.30078125,24094.099609375,24069.69921875,24069.69921875,0
2026-05-06 11:39:00+05:30,24070.599609375,24085.69921875,24070.0,24084.80078125,0
2026-05-06 11:42:00+05:30,24084.55078125,24100.30078125,24083.099609375,24096.80078125,0
2026-05-06 11:45:00+05:30,24097.099609375,24106.150390625,24090.599609375,24104.900390625,0
2026-05-06 11:48:00+05:30,24104.849609375,24108.80078125,24101.5,24102.69921875,0
2026-05-06 11:51:00+05:30,24102.80078125,24108.0,24096.900390625,24107.44921875,0
2026-05-06 11:54:00+05:30,24105.94921875,24114.150390625,24102.75,24110.349609375,0
2026-05-06 11:57:00+05:30,24109.19921875,24113.099609375,24095.5,24097.349609375,0
2026-05-06 12:00:00+05:30,24097.19921875,24099.75,24081.44921875,24087.349609375,0
2026-05-06 12:03:00+05:30,24087.0,24091.25,24081.0,24081.30078125,0
