,Close,High,Low,Open,Volume
2026-05-18 12:44:00+05:30,23584.75,23585.849609375,23578.75,23581.94921875,0
2026-05-18 12:45:00+05:30,23575.69921875,23587.099609375,23575.55078125,23585.0,0
2026-05-18 12:46:00+05:30,23578.099609375,23579.19921875,23572.650390625,23576.0,0
2026-05-18 12:47:00+05:30,23588.099609375,23588.75,23578.5,23578.80078125,0
2026-05-18 12:48:00+05:30,23584.150390625,23588.69921875,23581.19921875,23588.099609375,0
2026-05-18 12:49:00+05:30,23578.75,23586.5,23578.69921875,23584.19921875,0
2026-05-18 12:50:00+05:30,23580.0,23583.69921875,23577.0,23579.19921875,0
2026-05-18 12:51:00+05:30,23584.599609375,23586.30078125,23578.400390625,23580.19921875,0
2026-05-18 12:52:00+05:30,23587.94921875,23589.55078125,23584.80078125,23585.0,0
2026-05-18 12:53:00+05:30,23589.599609375,23590.5,23585.05078125,23588.25,0
2026-05-18 12:54:00+05:30,23589.25,23592.099609375,23586.5,23590.05078125,0
2026-05-18 12:55:00+05:30,23601.80078125,23602.400390625,23589.05078125,23589.5,0
2026-05-18 12:56:00+05:30,23618.099609375,23630.19921875,23601.400390625,23601.400390625,0
2026-05-18 12:57:00+05:30,23627.30078125,23628.599609375,23617.25,23617.25,0
2026-05-18 12:58:00+05:30,23629.400390625,23634.0,23626.400390625,23626.400390625,0
2026-05-18 12:59:00+05:30,23636.900390625,23637.400390625,23625.30078125,23630.75,0
2026-05-18 13:00:00+05:30,23640.900390625,23651.30078125,23636.849609375,23637.150390625,0
2026-05-18 13:01:00+05:30,23635.400390625,23643.150390625,23634.5,23641.55078125,0
2026-05-18 13:02:00+05:30,23644.599609375,23644.599609375,23634.69921875,23635.599609375,0
2026-05-18 13:03:00+05:30,23656.849609375,23661.349609375,23644.44921875,23644.44921875,0
2026-05-18 13:04:00+05:30,23646.349609375,23657.25,23645.55078125,23656.94921875,0
2026-05-18 13:05:00+05:30,23627.25,23647.25,23626.80078125,23645.900390625,0
2026-05-18 13:06:00+05:30,23616.25,23628.25,23615.75,23627.099609375,0
2026-05-18 13:07:00+05:30,23608.94921875,23617.400390625,23607.94921875,23616.849609375,0
2026-05-18 13:08:00+05:30,23609.69921875,23613.19921875,23605.25,23608.69921875,0
2026-05-18 13:09:00+05:30,23610.349609375,23612.0,23606.150390625,23609.80078125,0
2026-05-18 13:10:00+05:30,23600.0,23612.75,23599.69921875,23610.650390625,0
2026-05-18 13:11:00+05:30,23600.94921875,23600.94921875,23592.25,23599.900390625,0
2026-05-18 13:12:00+05:30,23607.349609375,23609.94921875,23599.94921875,23600.900390625,0
2026-05-18 13:13:00+05:30,23605.30078125,23607.55078125,23599.55078125,23607.55078125,0
2026-05-18 13:14:00+05:30,23615.900390625,23616.44921875,23605.19921875,23605.19921875,0
2026-05-18 13:15:00+05:30,23617.19921875,23620.25,23613.900390625,23615.5,0
2026-05-18 13:16:00+05:30,23622.150390625,23627.849609375,23617.599609375,23617.80078125,0
2026-05-18 13:17:00+05:30,23619.05078125,23623.30078125,23617.900390625,23621.55078125,0
2026-05-18 13:18:00+05:30,23626.75,23628.75,23618.349609375,23618.900390625,0
2026-05-18 13:19:00+05:30,23620.349609375,23628.55078125,23618.25,23626.900390625,0
2026-05-18 13:20:00+05:30,23604.0,23621.25,23603.55078125,23620.5,0
2026-05-18 13:21:00+05:30,23607.849609375,23614.30078125,23603.400390625,23604.400390625,0
2026-05-18 13:22:00+05:30,23598.650390625,23609.75,23598.19921875,23608.400390625,0
2026-05-18 13:23:00+05:30,23605.55078125,23606.55078125,23596.44921875,23598.55078125,0
